gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
2657,5.74886420,1.0000,4097,2.9782,6.4733,4050.7250,168.4199,135.43
2658,5.74886420,1.0000,4097,4.5100,9.5551,4019.7500,230.1733,135.48
2659,5.74886420,1.0000,4097,4.8399,7.9924,4001.7500,213.3238,135.54
2660,5.74886420,1.0000,4097,5.2563,11.0448,4005.5000,258.8228,135.59
2661,5.74886420,1.0000,4097,5.7554,9.9787,3980.3000,262.9255,135.64
2662,5.74886420,1.0000,4097,8.4346,13.6979,3913.7000,348.6258,135.69
2663,5.74886420,1.0000,4097,9.0980,14.6024,3906.1250,364.7614,135.74
2664,5.74886420,1.0000,4097,2.2026,4.9107,4069.3250,127.0642,135.80
2665,5.74886420,1.0000,4097,6.1270,12.0513,3975.9500,307.4126,135.85
2666,5.74886420,1.0000,4097,2.9186,6.3126,4058.7500,152.3202,135.90
2667,5.74886420,1.0000,4097,10.3843,14.4961,3862.7750,365.9246,135.96
2668,5.74886420,1.0000,4097,5.6855,11.7544,3986.9750,277.1498,136.01
2669,5.74886420,1.0000,4097,4.9933,10.5138,4008.2000,256.9424,136.06
2670,5.74886420,1.0000,4097,3.7421,5.5824,4044.5750,132.1175,136.12
2671,5.74886420,1.0000,4097,5.3093,7.7184,3992.6750,201.2757,136.17
2672,5.74886420,1.0000,4097,5.3079,7.9803,3993.9500,220.6016,136.23
2673,5.74886420,1.0000,4097,6.0326,12.5829,3990.5750,300.9353,136.28
2674,5.74886420,1.0000,4097,4.6258,10.0455,4011.5000,245.3177,136.33
2675,5.74886420,1.0000,4097,4.7442,10.1398,4007.0750,257.5177,136.38
2676,5.74886420,1.0000,4097,6.2278,12.1552,3968.3750,307.4182,136.43
2677,5.74886420,1.0000,4097,2.3011,4.6352,4069.2500,123.6163,136.48
2678,5.74886420,1.0000,4097,6.2880,8.8014,3987.0500,225.6596,136.54
2679,5.74886420,1.0000,4097,4.0893,8.0488,4025.1500,208.0040,136.59
2680,5.74886420,1.0000,4097,10.1694,15.4189,3869.6750,384.4254,136.64
2681,5.74886420,1.0000,4097,3.4793,5.2077,4048.1750,127.4964,136.69
2682,5.74886420,1.0000,4097,4.0060,8.1344,4034.0000,192.0270,136.74
2683,5.74886420,1.0000,4097,6.1221,10.3457,3965.9000,280.0707,136.79
2684,5.74887427,1.0000,4097,5.9217,9.4066,3997.9250,226.0102,136.85
2685,5.74887427,1.0000,4097,3.7062,9.5946,4035.5000,219.8204,136.91
2686,5.74887427,1.0000,4097,4.5665,9.8420,4006.4750,258.5339,136.96
2687,5.74887427,1.0000,4097,4.9745,9.4058,4017.0500,233.2869,137.01
2688,5.74887427,1.0000,4097,3.5451,9.3090,4031.9000,234.0838,137.06
2689,5.74887427,1.0000,4097,3.4092,6.2827,4041.0500,166.4129,137.11
2690,5.74887427,1.0000,4097,7.5272,11.7720,3931.1000,313.5145,137.17
2691,5.74887427,1.0000,4097,6.5186,12.2285,3964.6250,307.8775,137.22
2692,5.74887427,1.0000,4097,5.9677,11.3964,3974.9750,296.2106,137.27
2693,5.74887427,1.0000,4097,3.9678,6.6240,4030.7750,176.3689,137.33
2694,5.74914398,1.0000,4097,6.6872,12.5474,3958.4000,325.1177,137.38
2695,5.74914398,1.0000,4097,5.8305,12.3749,3992.7500,262.0357,137.43
2696,5.74914398,1.0000,4097,3.5478,7.9291,4038.2750,200.1833,137.48
2697,5.74929486,1.0000,4097,4.4909,8.9595,4017.7250,236.4182,137.54
2698,5.74929486,1.0000,4097,7.2213,11.4900,3944.1500,292.6768,137.59
2699,5.74929486,1.0000,4097,8.1310,16.3265,3939.8000,361.2620,137.64
2700,5.74929486,1.0000,4097,3.7911,8.5587,4033.2500,225.1917,137.69
2701,5.74929486,1.0000,4097,6.7192,11.5140,3948.9500,300.7210,137.74
2702,5.74929486,1.0000,4097,9.2526,13.1611,3900.2750,346.1367,137.80
2703,5.74929486,1.0000,4097,6.6614,10.7956,3961.1750,285.6104,137.85
2704,5.74929486,1.0000,4097,5.0147,9.6649,4000.7750,236.3263,137.90
2705,5.74929486,1.0000,4097,4.1082,9.0573,4022.9750,227.0798,137.95
2706,5.74929486,1.0000,4097,5.4032,10.8552,3981.8750,282.8625,138.00
2707,5.74929486,1.0000,4097,7.2262,14.9056,3961.3250,330.5011,138.06
2708,5.74929486,1.0000,4097,6.4212,11.6296,3969.9500,304.8003,138.11
2709,5.75183447,1.0000,4097,3.8240,6.8959,4030.2500,185.8654,138.16
2710,5.75183447,1.0000,4097,5.8606,11.4497,3978.9500,293.1896,138.21
2711,5.75183447,1.0000,4097,5.0922,9.8625,3999.2000,255.9413,138.27
2712,5.75183447,1.0000,4097,3.3902,7.4213,4035.6500,196.3464,138.32
2713,5.75183447,1.0000,4097,5.7930,11.0527,3978.3500,268.5594,138.37
2714,5.75183447,1.0000,4097,4.4564,8.1849,4011.3500,217.5941,138.42
2715,5.75183447,1.0000,4097,5.6806,10.4373,3979.1750,274.7818,138.47
2716,5.75183447,1.0000,4097,6.2666,12.4373,3977.5250,301.3603,138.53
2717,5.75183447,1.0000,4097,4.5926,8.6179,4009.7000,231.1790,138.58
2718,5.75183447,1.0000,4097,7.0210,10.5922,3949.4750,285.3258,138.63
2719,5.75240322,1.0000,4097,1.8364,3.5813,4081.3250,97.8903,138.68
2720,5.75240322,1.0000,4097,4.3058,8.7397,4018.0250,227.4065,138.73
2721,5.75240322,1.0000,4097,3.0325,9.9126,4049.6750,222.8028,138.78
2722,5.75240322,1.0000,4097,4.6485,10.0607,4007.6750,257.2248,138.83
2723,5.75240322,1.0000,4097,6.4930,11.6273,3960.1250,303.8266,138.89
2724,5.75240322,1.0000,4097,5.9245,11.9022,3984.2000,284.8482,138.94
2725,5.75240322,1.0000,4097,5.4517,10.0832,4000.1000,259.5444,138.99
2726,5.75240322,1.0000,4097,6.7377,12.1922,3951.9500,312.7322,139.04
2727,5.75297334,1.0000,4097,4.9366,8.4173,4007.3750,219.3913,139.10
2728,5.75297334,1.0000,4097,3.5859,7.2528,4038.1250,190.2940,139.15
2729,5.75297334,1.0000,4097,4.6691,7.7636,4015.1000,211.6565,139.20
2730,5.75449931,1.0000,4097,7.2050,12.1086,3958.0250,292.0684,139.25
2731,5.75449931,1.0000,4097,7.0694,13.0169,3949.1000,320.4171,139.31
2732,5.75449931,1.0000,4097,6.9964,13.3343,3951.0500,324.0955,139.36
2733,5.75449931,1.0000,4097,6.6708,14.6529,3983.9000,309.6214,139.41
2734,5.75449931,1.0000,4097,5.0778,10.5475,3999.6500,265.8777,139.46
2735,5.75449931,1.0000,4097,5.3129,10.2353,3988.2500,270.1156,139.51
2736,5.75449931,1.0000,4097,6.9393,12.5599,3953.7500,317.6933,139.56
2737,5.75449931,1.0000,4097,6.7032,13.6810,3957.0500,343.0402,139.61
2738,5.75449931,1.0000,4097,4.2007,6.8686,4039.1000,175.9880,139.67
2739,5.75449931,1.0000,4097,5.5400,12.1657,3985.4750,303.6608,139.72
2740,5.75449931,1.0000,4097,5.2738,9.3855,3988.8500,254.1807,139.77
2741,5.75449931,1.0000,4097,5.9179,15.0896,3998.9750,307.5091,139.82
2742,5.75449931,1.0000,4097,7.2279,11.1280,3946.5500,293.2917,139.88
2743,5.75449931,1.0000,4097,5.4472,12.7868,4004.9750,288.5357,139.93
2744,5.75449931,1.0000,4097,6.3725,11.2668,3964.2500,296.0612,139.98
2745,5.75449931,1.0000,4097,4.1787,6.8344,4041.4250,177.1016,140.03
2746,5.75449931,1.0000,4097,6.6974,12.8634,3963.2000,311.4022,140.08
2747,5.75449931,1.0000,4097,9.9016,14.4641,3893.2250,365.7979,140.13
2748,5.75449931,1.0000,4097,5.2231,11.2245,3992.6000,279.8006,140.19
2749,5.75449931,1.0000,4097,3.5666,6.7398,4037.5250,181.7650,140.24
2750,5.75449931,1.0000,4097,5.6363,11.6543,3980.6750,293.1351,140.29
2751,5.75449931,1.0000,4097,3.3854,8.1914,4043.9000,207.8734,140.34
2752,5.75449931,1.0000,4097,5.6206,10.5897,3988.0250,267.4390,140.39
2753,5.75449931,1.0000,4097,7.3935,12.1839,3943.0250,310.6778,140.44
2754,5.75449931,1.0000,4097,3.8902,6.6986,4044.9500,171.6311,140.50
2755,5.75449931,1.0000,4097,7.4022,12.7465,3941.9000,317.3577,140.55
2756,5.75449931,1.0000,4097,6.7935,11.2481,3956.1500,288.0296,140.60
2757,5.75449931,1.0000,4097,5.1722,9.8378,3988.1000,258.1780,140.65
2758,5.75449931,1.0000,4097,7.4871,12.9890,3940.2500,331.0658,140.70
2759,5.75449931,1.0000,4097,2.9638,4.7462,4061.2250,112.9519,140.75
2760,5.75449931,1.0000,4097,2.6846,4.9425,4070.1500,121.4888,140.81
2761,5.75449931,1.0000,4097,5.3518,11.9821,3992.4500,295.1835,140.86
2762,5.75449931,1.0000,4097,5.5786,10.3366,3985.2500,268.2936,140.91
2763,5.75449931,1.0000,4097,2.8542,5.2962,4062.2000,129.7666,140.97
2764,5.75449931,1.0000,4097,6.5165,9.0340,3971.9750,241.1218,141.02
2765,5.75449931,1.0000,4097,4.0465,6.8705,4021.6250,175.3425,141.07
2766,5.75449931,1.0000,4097,2.2370,3.8103,4073.8250,85.5710,141.12
2767,5.75449931,1.0000,4097,5.2198,9.5966,3990.2750,252.0294,141.17
2768,5.75449931,1.0000,4097,6.4711,13.1644,3967.3250,317.0962,141.22
2769,5.75449931,1.0000,4097,4.6380,9.8295,4005.5750,242.0825,141.27
2770,5.75449931,1.0000,4097,5.4910,10.4995,3981.5000,276.5318,141.32
2771,5.75449931,1.0000,4097,3.5944,7.0007,4039.6250,182.2635,141.37
2772,5.75449931,1.0000,4097,5.3929,9.3989,3997.0250,241.4808,141.43
2773,5.75449931,1.0000,4097,5.3625,11.4960,4013.9000,261.6691,141.48
2774,5.75449931,1.0000,4097,4.6678,9.5961,4006.4750,241.5921,141.53
2775,5.75449931,1.0000,4097,5.0736,8.4692,4001.2250,224.5590,141.58
2776,5.75449931,1.0000,4097,5.0062,10.3117,4006.8500,252.9793,141.63
2777,5.75449931,1.0000,4097,2.6911,6.9274,4055.9750,178.9147,141.68
2778,5.75449931,1.0000,4097,5.9261,12.0629,3980.4500,310.5736,141.73
2779,5.75449931,1.0000,4097,4.8024,10.0410,4000.9250,252.5017,141.78
2780,5.75449931,1.0000,4097,5.4497,10.4543,3982.3250,270.0062,141.83
2781,5.75449931,1.0000,4097,6.4107,11.6612,3962.5250,303.1640,141.88
2782,5.75676770,1.0000,4097,3.3134,6.8064,4040.3750,179.9077,141.93
2783,5.76947737,1.0000,4097,1.8298,3.2022,4084.4000,78.6870,141.98
