gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
224,5.24474071,1.0000,4097,4.4870,8.5488,4013.2250,226.9182,10.86
225,5.24474071,1.0000,4097,4.4966,8.1221,4022.8250,210.9855,10.91
226,5.24474071,1.0000,4097,4.2421,8.4929,4014.8750,222.1709,10.96
227,5.24474071,1.0000,4097,5.9331,10.9247,3981.7250,276.7505,11.00
228,5.24474071,1.0000,4097,7.5579,13.4163,3937.4750,340.7153,11.05
229,5.24474071,1.0000,4097,6.5227,15.8339,3991.1000,320.5274,11.10
230,5.24474071,1.0000,4097,3.8682,5.9892,4037.9750,151.6713,11.14
231,5.24474071,1.0000,4097,8.6050,14.0243,3901.1000,360.9283,11.19
232,5.24543823,1.0000,4097,7.8368,16.2242,3944.8250,370.0607,11.24
233,5.24543823,1.0000,4097,5.2446,13.2200,4011.2000,272.2943,11.28
234,5.24543823,1.0000,4097,6.7862,14.7779,3961.1750,338.5650,11.33
235,5.24543823,1.0000,4097,8.6632,12.0668,3913.8500,315.6486,11.37
236,5.24543823,1.0000,4097,8.1697,18.1682,3935.3000,372.3928,11.42
237,5.24543823,1.0000,4097,8.0120,13.1019,3923.6000,338.1834,11.47
238,5.24884306,1.0000,4097,5.0683,9.3565,4000.1000,245.9435,11.52
239,5.24884306,1.0000,4097,7.8876,11.9873,3931.6250,304.8708,11.56
240,5.24884306,1.0000,4097,6.2510,12.7437,3964.4750,325.6209,11.61
241,5.24884306,1.0000,4097,5.7306,8.3090,3986.1500,214.7861,11.66
242,5.24884306,1.0000,4097,3.7695,6.9047,4030.4000,186.9209,11.70
243,5.24884306,1.0000,4097,4.1824,10.6869,4033.8500,247.4981,11.75
244,5.24884306,1.0000,4097,6.1341,11.5582,3973.7000,288.0780,11.80
245,5.24884306,1.0000,4097,7.0203,10.6973,3957.9500,285.2861,11.84
246,5.24884306,1.0000,4097,6.0504,11.5939,3972.2000,293.9179,11.89
247,5.24899279,1.0000,4097,6.3844,11.3724,3960.5000,294.3702,11.94
248,5.24899279,1.0000,4097,5.8392,11.2477,3979.3250,292.6373,11.99
249,5.24899279,1.0000,4097,5.0745,9.0514,3996.9500,240.5193,12.03
250,5.25009599,1.0000,4097,5.1745,10.6026,3992.7500,276.3070,12.08
251,5.25009599,1.0000,4097,3.5112,7.2438,4034.7500,190.8690,12.12
252,5.25046758,1.0000,4097,5.1932,10.6723,4005.0500,257.3176,12.17
253,5.25063885,1.0000,4097,4.5779,11.8779,4016.2250,273.5059,12.21
254,5.25611432,1.0000,4097,3.7309,9.4728,4034.6000,220.3951,12.26
255,5.25611432,1.0000,4097,5.7638,9.1057,3992.1500,238.8704,12.30
256,5.25611432,1.0000,4097,3.0941,8.3283,4046.9750,206.3996,12.35
257,5.25623813,1.0000,4097,5.6939,11.0253,3983.9000,276.1770,12.39
258,5.25623813,1.0000,4097,5.5280,8.9366,3987.6500,238.3376,12.44
259,5.25623813,1.0000,4097,6.4680,11.6284,3968.5250,293.2144,12.49
260,5.25623813,1.0000,4097,9.6999,14.6660,3888.4250,361.3892,12.53
261,5.25623813,1.0000,4097,8.1821,11.9854,3925.0250,317.5783,12.58
262,5.25926967,1.0000,4097,7.5463,12.8075,3941.7500,322.1103,12.63
263,5.25926967,1.0000,4097,8.1551,12.7167,3919.4000,332.9021,12.67
264,5.25926967,1.0000,4097,6.0897,11.0764,3982.4750,276.7489,12.72
265,5.25926967,1.0000,4097,3.4773,7.0004,4036.9250,184.9245,12.76
266,5.25932065,1.0000,4097,5.1128,10.3511,3999.1250,264.6705,12.81
267,5.25932065,1.0000,4097,4.6492,10.4209,4023.6500,239.0606,12.86
268,5.25932065,1.0000,4097,2.9965,7.0957,4053.2000,181.7574,12.91
269,5.25932065,1.0000,4097,3.0431,6.0709,4055.9750,150.6756,12.95
270,5.26004012,1.0000,4097,7.3614,12.0285,3938.3750,315.7678,13.00
271,5.26053968,1.0000,4097,7.4224,17.1027,3948.3500,369.6810,13.05
272,5.26053968,1.0000,4097,7.8393,12.1591,3926.2250,318.8171,13.09
273,5.26053968,1.0000,4097,6.9923,13.4128,3957.9500,325.1622,13.14
274,5.26053968,1.0000,4097,3.3094,7.9448,4049.6000,204.7818,13.19
275,5.26596556,1.0000,4097,3.6990,6.6120,4042.8500,173.9146,13.23
276,5.26596556,1.0000,4097,5.0835,10.2527,4000.7750,263.2954,13.28
277,5.26596556,1.0000,4097,5.4731,10.7865,3991.1000,279.4812,13.33
278,5.26596556,1.0000,4097,6.7116,13.0248,3976.2500,310.1982,13.37
279,5.26596556,1.0000,4097,4.2743,8.4664,4019.2250,229.0637,13.42
280,5.26596556,1.0000,4097,5.1628,9.3908,3992.0000,249.6858,13.47
281,5.26596556,1.0000,4097,6.7895,12.2210,3967.5500,304.7286,13.51
282,5.26645328,1.0000,4097,5.3499,10.5806,3996.4250,259.2901,13.56
283,5.26645328,1.0000,4097,6.6758,12.1427,3952.1000,316.4269,13.61
284,5.26645328,1.0000,4097,8.4400,16.9407,3927.5750,388.9324,13.65
285,5.29290001,1.0000,4097,5.6747,10.7194,3982.7750,268.6017,13.70
286,5.29290001,1.0000,4097,3.3257,5.9483,4046.7500,159.5054,13.75
287,5.29290001,1.0000,4097,4.8807,9.4763,4005.3500,243.5826,13.79
288,5.29290001,1.0000,4097,4.2804,7.7470,4010.0000,212.1501,13.84
289,5.29290001,1.0000,4097,5.0611,9.7119,4013.0750,246.9307,13.89
290,5.29290001,1.0000,4097,5.0795,10.2430,4002.2750,262.4125,13.93
291,5.29290001,1.0000,4097,8.7220,13.7013,3904.8500,351.1205,13.98
292,5.29290001,1.0000,4097,3.4379,6.7566,4033.5500,184.7895,14.03
293,5.29292187,1.0000,4097,5.4504,10.0117,3994.3250,254.6252,14.07
294,5.29292187,1.0000,4097,8.2850,12.6801,3923.3750,330.2652,14.12
295,5.29729953,1.0000,4097,4.6326,7.2252,4012.0250,188.5929,14.16
296,5.29729953,1.0000,4097,6.6054,11.0535,3953.9000,291.0620,14.21
297,5.29729953,1.0000,4097,6.7042,12.1306,3972.3500,305.4126,14.26
298,5.29729953,1.0000,4097,4.6755,9.4685,4004.9000,244.2064,14.31
299,5.29729953,1.0000,4097,5.4701,8.4605,3985.9250,232.1848,14.35
