gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
244,0.99832807,1.0000,4097,6.1341,11.5582,3973.7000,288.0780,12.93
245,0.99832807,1.0000,4097,7.0203,10.6973,3957.9500,285.2861,12.99
246,0.99832807,1.0000,4097,6.0504,11.5939,3972.2000,293.9179,13.04
247,0.99832832,1.0000,4097,6.3844,11.3724,3960.5000,294.3702,13.09
248,0.99832832,1.0000,4097,5.8392,11.2477,3979.3250,292.6373,13.14
249,0.99832832,1.0000,4097,5.0745,9.0514,3996.9500,240.5193,13.19
250,0.99833017,1.0000,4097,5.1745,10.6026,3992.7500,276.3070,13.25
251,0.99833017,1.0000,4097,3.5112,7.2438,4034.7500,190.8690,13.30
252,0.99833079,1.0000,4097,5.1932,10.6723,4005.0500,257.3176,13.35
253,0.99833107,1.0000,4097,4.5779,11.8779,4016.2250,273.5059,13.40
254,0.99834019,1.0000,4097,3.7309,9.4728,4034.6000,220.3951,13.45
255,0.99834019,1.0000,4097,5.7638,9.1057,3992.1500,238.8704,13.51
256,0.99834019,1.0000,4097,3.0941,8.3283,4046.9750,206.3996,13.56
257,0.99834040,1.0000,4097,5.6939,11.0253,3983.9000,276.1770,13.61
258,0.99834040,1.0000,4097,5.5280,8.9366,3987.6500,238.3376,13.66
259,0.99834040,1.0000,4097,6.4680,11.6284,3968.5250,293.2144,13.71
260,0.99834040,1.0000,4097,9.6999,14.6660,3888.4250,361.3892,13.77
261,0.99834040,1.0000,4097,8.1821,11.9854,3925.0250,317.5783,13.83
262,0.99834542,1.0000,4097,7.5463,12.8075,3941.7500,322.1103,13.89
263,0.99834542,1.0000,4097,8.1551,12.7167,3919.4000,332.9021,13.94
264,0.99834542,1.0000,4097,6.0897,11.0764,3982.4750,276.7489,13.99
265,0.99834542,1.0000,4097,3.4773,7.0004,4036.9250,184.9245,14.04
266,0.99834551,1.0000,4097,5.1128,10.3511,3999.1250,264.6705,14.09
267,0.99834551,1.0000,4097,4.6492,10.4209,4023.6500,239.0606,14.15
268,0.99834551,1.0000,4097,2.9965,7.0957,4053.2000,181.7574,14.20
269,0.99834551,1.0000,4097,3.0431,6.0709,4055.9750,150.6756,14.25
270,0.99834670,1.0000,4097,7.3614,12.0285,3938.3750,315.7678,14.30
271,0.99834752,1.0000,4097,7.4224,17.1027,3948.3500,369.6810,14.35
272,0.99834752,1.0000,4097,7.8393,12.1591,3926.2250,318.8171,14.40
273,0.99834752,1.0000,4097,6.9923,13.4128,3957.9500,325.1622,14.46
274,0.99834752,1.0000,4097,3.3094,7.9448,4049.6000,204.7818,14.52
275,0.99835647,1.0000,4097,3.6990,6.6120,4042.8500,173.9146,14.57
276,0.99835647,1.0000,4097,5.0835,10.2527,4000.7750,263.2954,14.62
277,0.99835647,1.0000,4097,5.4731,10.7865,3991.1000,279.4812,14.67
278,0.99835647,1.0000,4097,6.7116,13.0248,3976.2500,310.1982,14.72
279,0.99835647,1.0000,4097,4.2743,8.4664,4019.2250,229.0637,14.77
280,0.99835647,1.0000,4097,5.1628,9.3908,3992.0000,249.6858,14.83
281,0.99835647,1.0000,4097,6.7895,12.2210,3967.5500,304.7286,14.88
282,0.99835727,1.0000,4097,5.3499,10.5806,3996.4250,259.2901,14.93
283,0.99835727,1.0000,4097,6.6758,12.1427,3952.1000,316.4269,14.99
284,0.99835727,1.0000,4097,8.4400,16.9407,3927.5750,388.9324,15.04
285,0.99840015,1.0000,4097,5.6747,10.7194,3982.7750,268.6017,15.10
